date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:01	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-604bde673af7a%22	https://jthemes.net/robots.txt		(from )
12:42:04	150048/150048	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Aug%202024%2010:42:01%20GMT	https://jthemes.net/themes/wp/genz/	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/index.html	(from )
12:42:05	112419/112419	---M-Z	200	added ('OK')	text/css	etag:%221b723-61deea44aa301-gzip%22	https://jthemes.net/themes/wp/genz/wp-includes/css/dist/block-library/style.min.css?ver=6.6.1	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-includes/css/dist/block-library/style.minb6a4.css	(from https://jthemes.net/themes/wp/genz/)
12:42:06	46353/46353	---M-Z	200	added ('OK')	application/rss+xml	etag:%22455acc251dfc7d0f067ed895dbb818ca-gzip%22	https://jthemes.net/themes/wp/genz/feed/	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/feed/index.html	(from https://jthemes.net/themes/wp/genz/)
12:42:07	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%2228c3-6022c7fba5b40-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.4.6	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-stylead26.css	(from https://jthemes.net/themes/wp/genz/)
12:42:07	9632/9632	---M-Z	200	added ('OK')	application/rss+xml	etag:%22455acc251dfc7d0f067ed895dbb818ca-gzip%22	https://jthemes.net/themes/wp/genz/comments/feed/	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/comments/feed/index.html	(from https://jthemes.net/themes/wp/genz/)
12:42:07	268756/268756	---M-Z	200	added ('OK')	text/css	etag:%22419d4-6022c7fba5b40-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=10.4.6	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-stylead26.css	(from https://jthemes.net/themes/wp/genz/)
12:42:08	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-5fe22a446cd80-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://jthemes.net/themes/wp/genz/)
12:42:08	6487/6487	---M-Z	200	added ('OK')	text/css	etag:%221957-604739113ad80-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/normalize.css?ver=1.0	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/normalize5152.css	(from https://jthemes.net/themes/wp/genz/)
12:42:09	27106/27106	---M-Z	200	added ('OK')	text/css	etag:%2269e2-604739113ad80-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/uicons-regular-rounded.css?ver=1.0	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/uicons-regular-rounded5152.css	(from https://jthemes.net/themes/wp/genz/)
12:42:10	17876/17876	---M-Z	200	added ('OK')	text/css	etag:%2245d4-604739113ad80-gzip%22	https://jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/swiper-bundle.min.css?ver=9.0.5	C:/Users/Sofiyan/Desktop/travels/Travels/jthemes.net/themes/wp/genz/wp-content/themes/genz/assets/css/vendors/swiper-bundle.min6055.css	(from https://jthemes.net/themes/wp/genz/)
